Author,Title,"Read? (y=yes, n=not going to, g=gave up)",Category,Read more by author?,I'm in it,Signed or Collectible,Comment
Don Schultz,Integrated Marketing Communications,n,,,,,
Don Schultz & Heidi Schultz,IMC: The Next Generation,n,,,,,
Donald A Norman,The Invisible Computer,n,,,,,
Donny Deutsch,"Often Wrong, Never in Doubt",y,,,,,
Doug Kaye,Strategies for Web Hosting and Managed Services,y,,,,,
Doug Mowe,"Alex Jordan, Architect of His Own Dream",y,,,,,
Doug Tatum,No Man's Land: A Survival Manual for Growing Midsize Companies,y,,,,,
Douglas Adams,Dirk Gently's Holistic Detective Agency,y,,,,,
Douglas Adams,Hitchhiker's Guide to the Galaxy,y,,y,,,
Douglas Adams,"Life, The Universe, and Everything",y,,,,,
Douglas Adams,Long Dark Tea-Time of the Soul (Dirk Gently Book 2),y,,,,,
Douglas Adams,Mostly Harmless,y,,,,,
Douglas Adams,Restaurant at the End of the Universe,y,,,,,
Douglas Adams,So Long and Thansk for All The Fish,y,,,,,
Douglas Coupland,Generation X,y,,y,,,
Douglas Coupland,Jpod,y,,,,,
Douglas Coupland,Microserfs,y,,,,,
Douglas Coupland,The Gum Thief,y,,,,,
Douglas E. Richards,Quantum Lens,,,,,,
Douglas Richards,Amped,y,,,,,
Douglas Richards,WIRED,y,,y,,,
Drew Curtis,"It's Not News, It's Fark",y,,,,,
Drew McClellan,99.3 Random Acts of Marketing,y,,,,,
Duncun Watts,Six Degrees,,,,,,
E L James,"Fifty Shades of Grey (Fifty Shades, Book 1)",d,,,,,
Earl Sparling,Mystery Men of Wall Street,,,,,,Jose gave it to me.
Ed Brill,Opting In,n,,,,,
Ed Cerney,Notes from the Coach,,,,,,
Ed Keller and Jon Berry,Influentials,y,wom,,,,
Ed McBain,Fuzz,y,,,,,
Ed McBain,Heat (87th Precinct Mysteries),,,,,,
Ed McBain,The Pusher (87th Precinct Mysteries),,,,,,
Ed Park,Personal Days,y,,,,,
Ed Rendell,A Nation of Wusses,y,,,,,
Edgar Allen Poe,Complete Tales,,,,,,
Edgar Rice Burroughs,Princess of Mars,y,,,,,
Edward Pritzler,Jewish Pirates of the Carribean,,,,,,
Edward Tufte,Envisioning Information,,presentations,,,,
Edward Tufte,Visual Explanaitions,,,,,,
Edwin Abbott,Flatland,y,,,,,
Elaine Zimbel,"Bullet to the Heart, One to the Brain",,,,,,
Elmore Leonard,Be Cool,y,,y,,,
Elmore Leonard,Cuba Libre,y,,,,,
Elmore Leonard,Get Shorty,y,,,,,
Elmore Leonard,Maximum Bob,y,,,,,
Elmore Leonard,Mr. Paradise,y,,,,,
Elmore Leonard,Out of Sight,y,,,,,
Elmore Leonard,Rum Punch ,y,,,,,
Emanuel Rosen,The Anatomy of Buzz,y,,,,,
Emanuel Rosen,The Anatomy of Buzz Revisited,n,wom,,,,
Emily Pilloton,Deisgn Revolution,,,,,,
Eric Darton,Divided We Stand,,,,,,
Eric Enge,The Art of SEO,n,,,,,
Eric Homberger,The Historical Atlas of New York City,n,,,,,
Eric Meyer,Eric Meyer on CSS,y,,,,,
Eric Nylund,A Signal Shattered,y,,y,,,
Eric Nylund,Signal to Noise,y,,,,,
Eric Ries,The Lean Startup,,,,,,
Eric Sanderson,Mannahatta,,,,,,
Eric Van Lustbader,Robert Ludlum's The Bourne Legacy,y,,,,,
Eric Verzuh,The Fast Forward MBA in Project Management,,project management,,,,
Ernest Cline,Armada: A novel by the author of Ready Player One,,,,,,
Ernest Cline,Ready Player One,y,,,,,
Esther Dyson,Release 2.1,n,,,,,
Eugene Burdick and William J. Lederer,The Ugly American,y,,,,,
Everett Rogers,Diffusion of Innovations,,,,,,
F. Scott Fitzgerald,The Great Gatsby,y,,,,,
Fabio Cipriani,Social Media Strategy: How to overcome the social networking..,,,,,,
Failblog,Fail Harder,y,,,,,
Fake Steve Jobs,Options,y,business humor,,,,
Fareed Zakaria,Post-American World,n,,,,,
Farhad Manjoo,True Enough,n,,,,,
Frank Gilbreth,Cheaper by the Dozen,y,,,,,
Frank Herbert,Chapterhouse: Dune,y,,y,,,
Frank Herbert,Children of Dune,y,,,,,
Frank Herbert,Dune,y,,,,,
Frank Herbert,Dune Messiah,y,,,,,
Frank Herbert,God Emperor of Dune,y,,,,,
Frank Herbert,Hellstrom's Hive,y,,,,,
Frank Herbert,Heretics of Dune,y,,,,,
Frank Luntz,"Candidates, Consultants & Campaigns",y,,,,,
Frank Luntz,Words That Work,,,,,,
Franz Kafka,Complete Stories,y,,,,,
Frederick Reichheld,Loyalty Rules,y,,,,,
Frederick Reichheld,The Ultimate Question,y,WOM,,,,
Frederick Reichheld,The Ultimate Question 2.0,n,WOM,,,,
Frederick W Ball and Barbara B Ball,Impact Hiring,y,,,,,
Fritz Leiber,The Night of the Long Knives,y ,,,,,
G. Lynne Snead & Joyce Wycoff,"To Do, Doing, Done",,,,,,
G.E. Kidder Smith,Sourcebook of American Architecture,,,,,,
Garr Reynolds,Presentation Zen,y,presentations,,,,
Garrett Sutton,Own Your Own Corporation,n,,,,,
Gary Belsky,Why Smart People Make Big Money Mistakes,,,,,,
Gary Keller,The One Thing: The Surprisingly Simple Truth Behind..,y,,,,,
Gary Ryan Blair,Goals,,,,,,
Gary Sernovitz,Four Score and Seven Years,y,,,x,,
